name,city,status,listed_price,total_amount,bookings_count,pricing_strategy,price_variance_percent
The Savoy,London,TICKETED,762.0714285714286,822.3125,16,MARKET_RATE,7.9
The Savoy,London,CONFIRMED,762.0714285714286,786.7142857142857,14,MARKET_RATE,3.23
The Savoy,London,PENDING_PAYMENT,762.0714285714286,774.9411764705883,17,MARKET_RATE,1.69
The Savoy,London,CANCELLED,762.0714285714286,880.25,12,PREMIUM_BOOKING,15.51
The Plaza,New York,TICKETED,1443.5625,1552.3076923076924,13,MARKET_RATE,7.53
The Plaza,New York,CANCELLED,1443.5625,1250.642857142857,14,DISCOUNTED,-13.36
The Plaza,New York,CONFIRMED,1443.5625,1423.2857142857142,21,MARKET_RATE,-1.4
The Plaza,New York,PENDING_PAYMENT,1443.5625,1340.7272727272727,11,MARKET_RATE,-7.12
Los Tajibos Hotel,Santa Cruz,CONFIRMED,111.37254901960785,116.23529411764706,17,MARKET_RATE,4.37
Los Tajibos Hotel,Santa Cruz,TICKETED,111.37254901960785,111.9,10,MARKET_RATE,0.47
Los Tajibos Hotel,Santa Cruz,CANCELLED,111.37254901960785,105.81818181818181,11,MARKET_RATE,-4.99
Los Tajibos Hotel,Santa Cruz,PENDING_PAYMENT,111.37254901960785,119.6923076923077,13,MARKET_RATE,7.47
Le Meurice,Paris,CANCELLED,1085.0384615384614,1159.2142857142858,14,MARKET_RATE,6.84
Le Meurice,Paris,TICKETED,1085.0384615384614,1095.6923076923076,13,MARKET_RATE,0.98
Le Meurice,Paris,CONFIRMED,1085.0384615384614,1082.8823529411766,17,MARKET_RATE,-0.2
Le Meurice,Paris,PENDING_PAYMENT,1085.0384615384614,1127.0,17,MARKET_RATE,3.87
Hotel Mar,Barcelona,PENDING_PAYMENT,218.1206896551724,194.55555555555554,9,DISCOUNTED,-10.8
Hotel Mar,Barcelona,CANCELLED,218.1206896551724,224.08333333333334,12,MARKET_RATE,2.73
Hotel Mar,Barcelona,CONFIRMED,218.1206896551724,229.36363636363637,11,MARKET_RATE,5.15
Hotel Mar,Barcelona,TICKETED,218.1206896551724,199.34782608695653,23,MARKET_RATE,-8.61
Hotel Centro,Madrid,TICKETED,180.9298245614035,173.2,20,MARKET_RATE,-4.27
Hotel Centro,Madrid,CONFIRMED,180.9298245614035,181.36363636363637,11,MARKET_RATE,0.24
Hotel Centro,Madrid,PENDING_PAYMENT,180.9298245614035,186.30769230769232,13,MARKET_RATE,2.97
Hotel Centro,Madrid,CANCELLED,180.9298245614035,191.73333333333332,15,MARKET_RATE,5.97
Hotel Cap Rocat,Palma,TICKETED,635.2678571428571,640.75,12,MARKET_RATE,0.86
Hotel Cap Rocat,Palma,CANCELLED,635.2678571428571,661.4166666666666,12,MARKET_RATE,4.12
Hotel Cap Rocat,Palma,CONFIRMED,635.2678571428571,716.9090909090909,11,PREMIUM_BOOKING,12.85
Hotel Cap Rocat,Palma,PENDING_PAYMENT,635.2678571428571,635.4545454545455,11,MARKET_RATE,0.03
Burj Al Arab Jumeirah,Dubai,TICKETED,2014.1166666666666,2185.315789473684,19,MARKET_RATE,8.5
Burj Al Arab Jumeirah,Dubai,CANCELLED,2014.1166666666666,2066.0,10,MARKET_RATE,2.58
Burj Al Arab Jumeirah,Dubai,CONFIRMED,2014.1166666666666,2098.2,10,MARKET_RATE,4.17
Burj Al Arab Jumeirah,Dubai,PENDING_PAYMENT,2014.1166666666666,1882.6363636363637,11,MARKET_RATE,-6.53
